# SOURMASH-MANIFEST-VERSION: 1.0,,,,,,,,,,
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
DRR046817.sig,33672bbe14d335a038c13238fedf2273,33672bbe,21,DNA,0,1000,12508086,1,DRR046817,-
DRR046817.sig,80f32b284f04bacb166de651f81f6181,80f32b28,31,DNA,0,1000,13326779,1,DRR046817,-
DRR046817.sig,fc6abf8b1f07ba45ac4d52f04133782d,fc6abf8b,51,DNA,0,1000,11865356,1,DRR046817,-
DRR092732.sig,7475465f40bca3da95b2c1faedb79df4,7475465f,21,DNA,0,1000,1404566,1,DRR092732,-
DRR092732.sig,501d908a52721743d7adcb7b7ccf6a40,501d908a,31,DNA,0,1000,1501710,1,DRR092732,-
DRR092732.sig,084e238489b67e433b91505882df6932,084e2384,51,DNA,0,1000,1559303,1,DRR092732,-
DRR101455.sig,e0a9298a86e44705404825eaa93af62c,e0a9298a,21,DNA,0,1000,9193069,1,DRR101455,-
DRR101455.sig,3e4402a189232d038fe7541b372293d9,3e4402a1,31,DNA,0,1000,9703593,1,DRR101455,-
DRR101455.sig,56a544c39a68636838e2c8f00a103296,56a544c3,51,DNA,0,1000,8893122,1,DRR101455,-
DRR101456.sig,8d6019ac0e5134b2cf294358a7c3854b,8d6019ac,21,DNA,0,1000,8612256,1,DRR101456,-
DRR101456.sig,f248117034e022375f16facf976edaf7,f2481170,31,DNA,0,1000,9000791,1,DRR101456,-
DRR101456.sig,1b33d832fb3cab3796abf0456247bfa8,1b33d832,51,DNA,0,1000,8207028,1,DRR101456,-
DRR101459.sig,501f68785f85be59cf3d539029b63510,501f6878,21,DNA,0,1000,8731852,1,DRR101459,-
DRR101459.sig,1e11f2bcfd50c8c4af375475babb3ba8,1e11f2bc,31,DNA,0,1000,9038946,1,DRR101459,-
DRR101459.sig,40078191f84d77db8f02fb93b2a0b24b,40078191,51,DNA,0,1000,8096751,1,DRR101459,-
DRR101462.sig,e66425493baa3798c77ce24a2ea27dd2,e6642549,21,DNA,0,1000,8511661,1,DRR101462,-
DRR101462.sig,ea28b63cab7217f9bfb5bc82f85dd0af,ea28b63c,31,DNA,0,1000,8857979,1,DRR101462,-
DRR101462.sig,6b75670cd0661a0bb0bb08634121b1ce,6b75670c,51,DNA,0,1000,7983855,1,DRR101462,-
DRR101464.sig,b2c8ae8cd2517748ec5bcbb114d2097e,b2c8ae8c,21,DNA,0,1000,8668582,1,DRR101464,-
DRR101464.sig,80e618178853a88705c1d9fa9090ef2c,80e61817,31,DNA,0,1000,9040766,1,DRR101464,-
DRR101464.sig,c394235e4140f493106febeca40ee60e,c394235e,51,DNA,0,1000,8201003,1,DRR101464,-
DRR101465.sig,c33f7eb134bb0e60db1c667446ff5dd0,c33f7eb1,21,DNA,0,1000,7902628,1,DRR101465,-
DRR101465.sig,c787bbdeee05608b44831282b7e50529,c787bbde,31,DNA,0,1000,8276418,1,DRR101465,-
DRR101465.sig,c73a578fc14a607300fa4afee046a8a2,c73a578f,51,DNA,0,1000,7534651,1,DRR101465,-
DRR184775.sig,a6017e1cc98afeaeb07f6bf774c7c7ef,a6017e1c,21,DNA,0,1000,7995643,1,DRR184775,-
